rate_id,route,date,rate_usd_per_ton_or_day,vessel_type
1,Tubarao-Qingdao,2024-07-15,12.31,Capesize
2,Tubarao-Qingdao,2024-07-22,13.01,Capesize
3,Tubarao-Qingdao,2024-07-29,12.67,Capesize
4,Tubarao-Qingdao,2024-08-05,12.62,Capesize
5,Tubarao-Qingdao,2024-08-12,13.54,Capesize
6,Tubarao-Qingdao,2024-08-19,13.61,Capesize
7,Tubarao-Qingdao,2024-08-26,13.18,Capesize
8,Tubarao-Qingdao,2024-09-02,13.07,Capesize
9,Tubarao-Qingdao,2024-09-09,13.97,Capesize
10,Tubarao-Qingdao,2024-09-16,14.35,Capesize
11,Tubarao-Qingdao,2024-09-23,13.73,Capesize
12,Tubarao-Qingdao,2024-09-30,13.92,Capesize
13,Tubarao-Qingdao,2024-10-07,14.17,Capesize
14,Tubarao-Qingdao,2024-10-14,14.43,Capesize
15,Tubarao-Qingdao,2024-10-21,14.56,Capesize
16,Tubarao-Qingdao,2024-10-28,14.6,Capesize
17,Tubarao-Qingdao,2024-11-04,14.87,Capesize
18,Tubarao-Qingdao,2024-11-11,14.5,Capesize
19,Tubarao-Qingdao,2024-11-18,14.21,Capesize
20,Tubarao-Qingdao,2024-11-25,14.29,Capesize
21,Tubarao-Qingdao,2024-12-02,14.87,Capesize
22,Tubarao-Qingdao,2024-12-09,14.76,Capesize
23,Tubarao-Qingdao,2024-12-16,14.5,Capesize
24,Tubarao-Qingdao,2024-12-23,14.04,Capesize
25,Tubarao-Qingdao,2024-12-30,13.66,Capesize
26,Tubarao-Qingdao,2025-01-06,12.7,Capesize
27,Tubarao-Qingdao,2025-01-13,13.31,Capesize
28,Tubarao-Qingdao,2025-01-20,13.98,Capesize
29,Tubarao-Qingdao,2025-01-27,13.68,Capesize
30,Tubarao-Qingdao,2025-02-03,13.62,Capesize
31,Tubarao-Qingdao,2025-02-10,12.67,Capesize
32,Tubarao-Qingdao,2025-02-17,13.48,Capesize
33,Tubarao-Qingdao,2025-02-24,14.34,Capesize
34,Tubarao-Qingdao,2025-03-03,14.3,Capesize
35,Tubarao-Qingdao,2025-03-10,13.36,Capesize
36,Tubarao-Qingdao,2025-03-17,13.22,Capesize
37,Tubarao-Qingdao,2025-03-24,12.82,Capesize
38,Tubarao-Qingdao,2025-03-31,12.31,Capesize
39,Tubarao-Qingdao,2025-04-07,11.36,Capesize
40,Tubarao-Qingdao,2025-04-14,11.12,Capesize
41,Tubarao-Qingdao,2025-04-21,10.95,Capesize
42,Tubarao-Qingdao,2025-04-28,11.07,Capesize
43,Tubarao-Qingdao,2025-05-05,10.86,Capesize
44,Tubarao-Qingdao,2025-05-12,10.22,Capesize
45,Tubarao-Qingdao,2025-05-19,10.67,Capesize
46,Tubarao-Qingdao,2025-05-26,10.46,Capesize
47,Tubarao-Qingdao,2025-06-02,10.23,Capesize
48,Tubarao-Qingdao,2025-06-09,9.77,Capesize
49,Tubarao-Qingdao,2025-06-16,9.62,Capesize
50,Tubarao-Qingdao,2025-06-23,9.12,Capesize
51,Tubarao-Qingdao,2025-06-30,9.63,Capesize
52,Tubarao-Qingdao,2025-07-07,10.42,Capesize
53,Tubarao-Qingdao,2025-07-14,11.01,Capesize
54,Tubarao-Qingdao,2025-07-21,11.36,Capesize
55,Tubarao-Qingdao,2025-07-28,10.95,Capesize
56,Tubarao-Qingdao,2025-08-04,11.42,Capesize
57,Tubarao-Qingdao,2025-08-11,12.01,Capesize
58,Tubarao-Qingdao,2025-08-18,11.84,Capesize
59,Tubarao-Qingdao,2025-08-25,12.52,Capesize
60,Tubarao-Qingdao,2025-09-01,11.91,Capesize
61,Tubarao-Qingdao,2025-09-08,11.51,Capesize
62,Tubarao-Qingdao,2025-09-15,11.77,Capesize
63,Tubarao-Qingdao,2025-09-22,12.0,Capesize
64,Tubarao-Qingdao,2025-09-29,11.56,Capesize
65,Tubarao-Qingdao,2025-10-06,11.79,Capesize
66,Tubarao-Qingdao,2025-10-13,11.19,Capesize
67,Tubarao-Qingdao,2025-10-20,10.27,Capesize
68,Tubarao-Qingdao,2025-10-27,9.41,Capesize
69,Tubarao-Qingdao,2025-11-03,9.47,Capesize
70,Tubarao-Qingdao,2025-11-10,8.87,Capesize
71,Tubarao-Qingdao,2025-11-17,8.11,Capesize
72,Tubarao-Qingdao,2025-11-24,7.66,Capesize
73,Tubarao-Qingdao,2025-12-01,8.08,Capesize
74,Tubarao-Qingdao,2025-12-08,8.51,Capesize
75,Tubarao-Qingdao,2025-12-15,8.0,Capesize
76,Tubarao-Qingdao,2025-12-22,7.33,Capesize
77,Tubarao-Qingdao,2025-12-29,7.32,Capesize
78,Tubarao-Qingdao,2026-01-05,7.01,Capesize
79,Tubarao-Qingdao,2026-01-12,6.65,Capesize
80,Tubarao-Qingdao,2026-01-19,7.23,Capesize
81,Tubarao-Qingdao,2026-01-26,8.18,Capesize
82,Tubarao-Qingdao,2026-02-02,8.11,Capesize
83,Tubarao-Qingdao,2026-02-09,8.67,Capesize
84,Tubarao-Qingdao,2026-02-16,8.35,Capesize
85,Tubarao-Qingdao,2026-02-23,9.01,Capesize
86,Tubarao-Qingdao,2026-03-02,9.87,Capesize
87,Tubarao-Qingdao,2026-03-09,9.02,Capesize
88,Tubarao-Qingdao,2026-03-16,9.55,Capesize
89,Tubarao-Qingdao,2026-03-23,8.73,Capesize
90,Tubarao-Qingdao,2026-03-30,8.67,Capesize
91,Tubarao-Qingdao,2026-04-06,8.08,Capesize
92,Tubarao-Qingdao,2026-04-13,8.74,Capesize
93,Tubarao-Qingdao,2026-04-20,9.34,Capesize
94,Tubarao-Qingdao,2026-04-27,9.97,Capesize
95,Tubarao-Qingdao,2026-05-04,9.25,Capesize
96,Tubarao-Qingdao,2026-05-11,9.76,Capesize
97,Tubarao-Qingdao,2026-05-18,9.28,Capesize
98,Tubarao-Qingdao,2026-05-25,9.8,Capesize
99,Tubarao-Qingdao,2026-06-01,9.69,Capesize
100,Tubarao-Qingdao,2026-06-08,10.15,Capesize
101,Tubarao-Qingdao,2026-06-15,9.25,Capesize
102,Tubarao-Qingdao,2026-06-22,9.18,Capesize
103,Tubarao-Qingdao,2026-06-29,9.7,Capesize
104,Tubarao-Qingdao,2026-07-06,9.74,Capesize
105,Tubarao-Qingdao,2026-07-13,10.67,Capesize
106,Port Hedland-Qingdao,2024-07-15,8.96,Capesize
107,Port Hedland-Qingdao,2024-07-22,9.22,Capesize
108,Port Hedland-Qingdao,2024-07-29,8.95,Capesize
109,Port Hedland-Qingdao,2024-08-05,8.7,Capesize
110,Port Hedland-Qingdao,2024-08-12,8.88,Capesize
111,Port Hedland-Qingdao,2024-08-19,8.22,Capesize
112,Port Hedland-Qingdao,2024-08-26,8.85,Capesize
113,Port Hedland-Qingdao,2024-09-02,8.88,Capesize
114,Port Hedland-Qingdao,2024-09-09,8.53,Capesize
115,Port Hedland-Qingdao,2024-09-16,8.73,Capesize
116,Port Hedland-Qingdao,2024-09-23,8.29,Capesize
117,Port Hedland-Qingdao,2024-09-30,8.85,Capesize
118,Port Hedland-Qingdao,2024-10-07,9.38,Capesize
119,Port Hedland-Qingdao,2024-10-14,8.97,Capesize
120,Port Hedland-Qingdao,2024-10-21,8.41,Capesize
121,Port Hedland-Qingdao,2024-10-28,8.6,Capesize
122,Port Hedland-Qingdao,2024-11-04,8.35,Capesize
123,Port Hedland-Qingdao,2024-11-11,7.87,Capesize
124,Port Hedland-Qingdao,2024-11-18,7.55,Capesize
125,Port Hedland-Qingdao,2024-11-25,7.0,Capesize
126,Port Hedland-Qingdao,2024-12-02,7.42,Capesize
127,Port Hedland-Qingdao,2024-12-09,6.71,Capesize
128,Port Hedland-Qingdao,2024-12-16,6.05,Capesize
129,Port Hedland-Qingdao,2024-12-23,6.46,Capesize
130,Port Hedland-Qingdao,2024-12-30,6.42,Capesize
131,Port Hedland-Qingdao,2025-01-06,6.56,Capesize
132,Port Hedland-Qingdao,2025-01-13,6.38,Capesize
133,Port Hedland-Qingdao,2025-01-20,5.79,Capesize
134,Port Hedland-Qingdao,2025-01-27,5.29,Capesize
135,Port Hedland-Qingdao,2025-02-03,4.7,Capesize
136,Port Hedland-Qingdao,2025-02-10,4.88,Capesize
137,Port Hedland-Qingdao,2025-02-17,5.5,Capesize
138,Port Hedland-Qingdao,2025-02-24,6.21,Capesize
139,Port Hedland-Qingdao,2025-03-03,6.39,Capesize
140,Port Hedland-Qingdao,2025-03-10,5.76,Capesize
141,Port Hedland-Qingdao,2025-03-17,5.97,Capesize
142,Port Hedland-Qingdao,2025-03-24,6.26,Capesize
143,Port Hedland-Qingdao,2025-03-31,6.68,Capesize
144,Port Hedland-Qingdao,2025-04-07,6.14,Capesize
145,Port Hedland-Qingdao,2025-04-14,5.75,Capesize
146,Port Hedland-Qingdao,2025-04-21,6.45,Capesize
147,Port Hedland-Qingdao,2025-04-28,6.86,Capesize
148,Port Hedland-Qingdao,2025-05-05,7.23,Capesize
149,Port Hedland-Qingdao,2025-05-12,7.67,Capesize
150,Port Hedland-Qingdao,2025-05-19,7.58,Capesize
151,Port Hedland-Qingdao,2025-05-26,7.14,Capesize
152,Port Hedland-Qingdao,2025-06-02,7.41,Capesize
153,Port Hedland-Qingdao,2025-06-09,7.21,Capesize
154,Port Hedland-Qingdao,2025-06-16,6.68,Capesize
155,Port Hedland-Qingdao,2025-06-23,7.26,Capesize
156,Port Hedland-Qingdao,2025-06-30,7.24,Capesize
