voyage_id,bunker_cost_usd,port_costs_usd,canal_costs_usd,other_costs_usd
1,657215.41,144087.16,0.0,32020.71
2,684095.4,207243.3,0.0,27694.14
3,739380.06,126402.59,0.0,15631.03
4,1034977.76,205963.54,0.0,17125.72
5,1130484.66,144299.72,0.0,29189.19
6,534567.72,185345.55,0.0,34385.39
7,642440.84,166262.81,0.0,41234.58
8,695897.6,168564.11,0.0,21412.42
9,790997.76,189659.15,0.0,36915.16
10,804152.22,194797.56,0.0,16714.96
11,704660.1,206181.92,0.0,27113.27
12,706826.65,191619.18,0.0,22160.58
13,953316.5,219845.44,0.0,44882.89
14,730076.37,163818.46,0.0,31296.54
15,879119.56,194241.67,0.0,19663.44
16,712058.73,162357.58,0.0,23300.41
17,661324.69,214505.09,0.0,35730.59
18,906890.3,141007.65,0.0,22485.89
19,1152361.16,122478.64,0.0,37096.93
20,1044487.33,142243.37,0.0,39497.6
21,896933.65,216688.91,0.0,23373.75
22,1156512.35,146546.64,0.0,18252.08
23,1017822.14,120169.13,0.0,42767.25
24,942394.97,186338.75,0.0,18738.76
25,897269.97,214036.37,0.0,35319.54
26,720366.99,166498.82,0.0,28264.79
27,693642.61,215199.97,0.0,22046.06
28,692586.54,208613.69,0.0,32270.13
29,920639.8,141884.11,0.0,39123.3
30,828900.47,179545.23,0.0,43501.19
31,1104653.86,203986.29,0.0,23319.34
32,868844.77,209302.68,0.0,17417.33
33,746416.79,140683.44,0.0,27604.31
34,1026065.17,193463.41,0.0,38996.05
35,877864.99,192418.14,0.0,40215.17
36,707153.77,206685.14,0.0,20451.87
37,864578.83,203192.43,0.0,22568.15
38,476373.69,123103.0,0.0,22418.5
39,738489.24,145624.37,0.0,26066.86
40,663825.88,139832.98,0.0,32762.94
41,705525.96,154123.12,0.0,40487.27
42,846747.69,200819.92,0.0,31145.19
43,778085.39,166470.85,0.0,33309.95
44,828908.43,208032.0,0.0,36035.51
45,729271.12,184590.29,0.0,29724.64
46,807400.21,154375.74,0.0,44898.94
47,903072.88,194288.11,0.0,43526.33
48,1111295.66,203262.84,0.0,23887.39
49,683800.84,132627.95,0.0,41053.84
50,680674.12,206172.3,0.0,18422.61
51,635169.21,144819.1,0.0,31742.19
52,1062730.25,150538.02,0.0,33630.82
53,789342.7,160851.76,0.0,35681.13
54,635756.49,146455.46,0.0,38737.43
55,803253.94,179504.4,0.0,39727.21
56,751074.34,163202.87,0.0,24669.65
57,718212.22,185150.95,0.0,42482.18
58,866492.76,136082.49,0.0,27349.35
59,1210789.46,160417.51,0.0,30437.89
60,1081153.69,195999.05,0.0,21106.75
61,1018165.29,151075.01,0.0,15410.23
62,630381.67,190541.16,0.0,27464.71
63,1051453.62,206402.69,0.0,23287.42
64,1065639.97,168964.03,0.0,19457.86
65,796417.77,158297.08,0.0,40680.39
66,1163094.53,169532.86,0.0,16110.59
67,632057.03,207093.3,0.0,44098.7
68,820562.93,151666.12,0.0,36561.52
69,929761.27,196036.97,0.0,36116.72
70,755954.23,134556.98,0.0,30934.99
71,555203.31,166114.99,0.0,22619.32
72,1010147.33,149915.42,0.0,43860.87
73,790947.34,219269.2,0.0,23856.92
74,513552.94,139013.2,0.0,22518.8
75,505468.81,149511.05,0.0,37424.43
76,978084.76,149514.14,0.0,41111.91
77,561672.69,159457.46,0.0,22933.76
78,872342.25,214316.91,0.0,24840.19
79,817396.67,169262.46,0.0,17915.76
80,1128748.96,185492.19,0.0,40010.79
81,676614.13,188568.03,0.0,31333.98
82,908783.85,184170.45,0.0,32914.38
83,727318.58,141595.14,0.0,41090.86
84,641899.97,206644.79,0.0,18954.1
85,567275.83,126355.8,0.0,28448.26
86,897835.19,206698.09,0.0,30643.54
87,657217.77,127349.07,0.0,17423.71
88,771554.3,163019.93,0.0,38792.88
89,868783.5,192961.25,0.0,24376.45
90,858200.49,194458.9,0.0,26179.41
91,873065.8,192106.07,0.0,44051.96
92,670095.63,196260.56,0.0,32223.0
93,862658.21,155102.34,0.0,20442.17
94,1126538.02,141513.29,0.0,27594.97
95,751111.89,181783.82,0.0,35219.06
96,907705.92,162991.36,0.0,23497.39
97,863956.94,214532.41,0.0,38020.49
98,734601.74,143011.07,0.0,31761.71
99,723394.35,177339.97,0.0,36284.97
100,936935.88,211976.98,0.0,17643.9
101,417956.32,91769.29,0.0,30314.5
102,365440.33,90251.1,0.0,20918.15
103,316924.68,141743.37,0.0,34289.75
104,362884.57,104635.96,0.0,17225.72
105,267425.8,115494.75,0.0,28881.35
106,344568.0,136767.68,0.0,40121.32
107,247668.35,106099.64,0.0,23486.81
108,360201.31,130661.36,0.0,34696.92
109,375833.91,121652.89,0.0,43140.07
110,559503.72,143871.36,0.0,17803.59
111,287040.63,149998.36,0.0,19648.36
112,450925.98,91357.3,0.0,39940.35
113,365377.4,132667.38,0.0,38514.01
114,346018.4,99724.02,0.0,26456.17
115,330544.89,87181.28,0.0,40376.77
116,252088.49,143735.35,0.0,39501.1
117,321864.08,81973.13,436165.18,40175.29
118,280256.56,123074.38,431171.5,15570.12
119,404594.9,109387.79,408779.82,28713.41
120,329476.17,109159.73,0.0,34931.14
121,397629.93,97755.52,0.0,15487.27
122,408367.85,103698.31,0.0,34283.87
123,402657.08,94111.37,0.0,38733.28
124,370621.03,104988.19,0.0,38425.25
125,317379.58,93077.21,0.0,35762.05
126,329456.93,102484.8,0.0,17402.07
127,512192.52,143812.51,0.0,33445.54
128,472918.41,89994.56,371514.58,38439.36
129,270645.39,111494.58,324192.9,28318.18
130,322757.43,93023.36,0.0,30532.36
131,324024.08,89500.99,264810.41,20179.69
132,518731.55,129826.64,435464.89,34131.0
133,316712.47,105823.78,0.0,39109.85
134,274133.49,108660.35,364980.1,18759.8
